Frame,Estado,Angulo_Joelho_Esquerdo,Angulo_Joelho_Direito,Angulo_Tornozelo_Esquerdo,Angulo_Tornozelo_Direito,Distancia_Pes_Px,Distancia_Ombros_Px,Ombro_Esquerdo_Y_Px,Ombro_Direito_Y_Px,Quadril_Esquerdo_Y_Px,Quadril_Direito_Y_Px
54,2,107.60,104.49,157.69,162.57,61.00,48.00,218,218,271,271
55,2,105.77,102.52,156.97,162.42,61.00,48.00,219,219,271,272
56,2,103.53,100.21,156.53,161.79,61.00,48.00,219,219,272,273
57,2,101.15,98.40,156.33,161.41,61.00,49.00,219,219,273,273
58,2,100.30,96.59,156.17,161.27,61.00,49.00,219,219,273,274
59,2,99.66,95.41,156.37,161.23,61.00,49.00,219,219,273,274
60,2,99.40,95.37,156.41,161.01,61.00,48.00,219,219,274,274
61,2,99.24,95.14,156.59,161.21,61.00,48.00,219,219,274,274
62,2,99.54,95.01,156.92,161.74,61.00,48.00,219,219,274,274
63,2,99.48,94.99,157.15,162.10,61.00,48.00,219,219,274,274
64,2,99.77,95.22,157.34,162.34,61.00,48.00,219,219,274,274
65,2,100.13,95.46,157.56,162.78,61.00,48.00,219,219,274,274
66,2,100.46,95.57,157.75,163.44,61.00,48.00,218,219,273,274
67,2,101.24,96.82,157.96,163.82,61.00,48.00,218,219,273,274
68,2,102.70,99.89,158.26,164.12,61.00,49.00,218,218,273,273
69,2,106.29,104.08,158.32,164.62,61.00,49.00,217,218,271,271
70,2,109.38,109.41,158.14,164.74,61.00,49.00,215,216,270,269
71,2,112.53,112.48,158.01,164.66,61.00,49.00,213,214,268,268
72,2,117.29,116.90,157.77,164.73,61.00,49.00,210,212,265,265
73,1,123.20,122.32,157.42,164.47,61.00,49.00,208,209,262,263
74,1,127.89,126.92,156.74,164.10,61.00,48.00,205,206,259,260
75,1,132.99,131.34,156.95,163.10,61.00,48.00,202,203,256,257
76,1,135.37,134.13,158.27,163.35,61.00,48.00,199,201,254,255
77,1,137.59,136.90,159.93,163.94,61.00,48.00,197,198,251,252
78,1,140.19,139.24,160.69,163.52,61.00,47.00,194,194,249,249
79,1,143.22,141.60,160.08,163.20,61.00,46.00,190,191,246,246
80,1,145.71,144.86,158.66,161.77,61.00,46.00,186,187,243,243
81,1,148.19,147.25,157.96,160.94,61.00,45.00,183,184,241,241
82,1,150.99,149.86,157.59,160.75,61.00,45.00,180,181,238,238
83,1,153.72,152.04,157.23,161.40,61.00,45.00,176,178,235,236
84,1,155.05,153.24,157.07,161.23,61.00,46.00,173,175,234,234
85,1,156.76,155.22,156.74,161.00,61.00,46.00,170,171,231,231
86,1,158.62,156.86,156.60,161.24,62.00,46.00,167,168,228,229
87,1,160.84,157.73,156.25,161.71,62.00,46.00,164,165,226,226
88,0,162.21,159.01,155.66,161.93,62.00,46.00,161,162,224,224
89,0,163.53,160.95,155.56,161.46,62.00,46.00,158,160,222,223
90,0,166.38,162.84,154.08,161.10,62.00,46.00,154,156,221,221
91,0,168.32,165.05,153.77,160.45,62.00,46.00,152,154,219,220
92,0,169.91,167.00,153.97,159.87,62.00,46.00,150,152,218,219
93,0,171.54,168.43,153.81,159.22,62.00,46.00,148,150,217,217
94,0,172.32,169.78,153.77,159.00,61.00,46.00,147,148,217,217
95,0,173.04,171.27,153.80,158.97,61.00,46.00,147,147,216,216
96,0,173.68,172.83,153.83,158.93,61.00,46.00,145,147,216,215
97,0,174.73,174.28,153.72,158.93,61.00,46.00,144,146,215,215
98,0,175.72,175.30,153.72,158.61,61.00,46.00,144,145,215,214
99,0,176.39,175.69,154.24,158.60,61.00,46.00,144,145,214,214
100,0,176.64,176.18,154.48,158.47,61.00,46.00,144,145,214,214
101,0,176.76,176.69,154.74,158.32,61.00,46.00,144,145,214,214
102,0,176.89,176.97,154.87,158.09,61.00,46.00,144,145,214,214
103,0,177.06,177.19,154.92,157.90,61.00,46.00,144,145,214,214
104,0,177.18,177.24,154.97,157.92,61.00,46.00,144,145,214,214
105,0,177.25,177.31,155.02,157.89,61.00,46.00,144,145,214,214
106,0,177.27,177.34,155.12,157.97,61.00,46.00,144,145,215,214
107,0,177.28,177.36,155.19,158.03,61.00,46.00,144,145,215,214
108,0,177.27,177.34,155.26,158.12,61.00,46.00,144,145,215,214
109,0,177.28,177.29,155.33,158.17,61.00,45.00,145,145,215,214
110,0,177.26,177.24,155.39,158.19,61.00,45.00,145,145,215,214
111,0,177.25,177.19,155.45,158.30,61.00,45.00,145,145,215,214
112,0,177.26,177.15,155.51,158.43,61.00,47.00,145,145,215,214
113,0,177.26,177.12,155.52,158.52,61.00,46.00,145,145,215,214
114,0,177.20,176.97,155.53,158.56,61.00,46.00,145,145,215,214
115,0,176.88,176.76,155.67,158.63,61.00,47.00,145,145,215,215
116,0,176.29,176.33,155.88,158.73,61.00,47.00,145,146,215,215
117,0,175.87,175.86,156.02,158.88,61.00,47.00,145,146,215,215
118,0,175.32,175.41,156.16,158.97,61.00,47.00,145,146,215,215
119,0,174.65,174.67,156.49,159.30,61.00,47.00,145,147,215,215
120,0,174.01,173.55,156.82,159.73,61.00,47.00,146,147,216,216
121,0,173.23,172.16,157.14,160.21,61.00,47.00,147,149,216,217
122,0,172.42,171.39,157.42,160.51,61.00,47.00,148,150,217,218
123,0,171.36,170.36,157.80,160.55,61.00,48.00,150,151,218,219
124,0,170.31,169.27,158.19,160.54,61.00,48.00,151,153,219,220
125,0,168.85,167.75,158.55,160.77,61.00,46.00,154,155,221,222
126,0,166.89,166.29,158.83,160.98,61.00,46.00,156,157,222,224
127,0,164.62,164.83,159.55,160.91,61.00,46.00,157,159,223,225
128,1,162.51,163.20,159.76,160.81,61.00,46.00,160,162,224,226
129,1,161.31,162.31,160.15,160.71,61.00,47.00,162,163,225,226
130,1,159.81,161.39,160.43,160.98,61.00,47.00,164,166,227,227
131,1,158.36,159.78,160.58,160.44,62.00,47.00,166,168,228,229
132,1,157.14,158.12,160.93,159.95,62.00,47.00,169,170,230,230
133,1,155.75,156.74,160.68,159.40,62.00,47.00,171,173,231,232
134,1,154.43,155.96,160.69,159.57,62.00,47.00,174,175,233,234
135,1,153.89,154.98,160.38,159.63,62.00,47.00,177,178,234,235
136,1,152.74,153.20,160.03,160.19,62.00,47.00,179,179,236,236
137,1,151.17,151.34,159.57,160.74,62.00,47.00,182,182,238,238
138,1,150.44,149.43,159.55,161.32,62.00,47.00,185,183,240,240
139,1,148.73,147.27,158.68,161.35,62.00,47.00,188,187,242,242
140,1,147.33,145.77,158.37,161.63,62.00,47.00,190,189,244,244
141,1,145.91,144.22,158.08,162.77,62.00,47.00,193,192,246,246
142,1,143.81,141.73,158.12,162.96,62.00,47.00,195,194,247,248
143,1,141.17,139.85,158.78,163.01,62.00,47.00,198,197,249,250
144,1,138.74,137.73,159.21,163.62,62.00,47.00,199,199,251,251
145,1,136.25,135.68,159.38,164.47,62.00,48.00,202,201,253,253
146,1,133.51,133.44,158.88,163.16,62.00,48.00,204,203,254,255
147,1,129.11,129.71,158.62,162.18,61.00,48.00,206,205,257,257
148,1,127.06,127.13,158.40,161.82,60.00,48.00,208,208,258,259
149,1,125.00,124.03,158.54,162.03,60.00,48.00,210,209,260,260
150,1,125.18,122.42,159.05,163.26,60.00,48.00,212,211,261,261
151,1,122.12,118.81,159.29,163.64,61.00,48.00,213,213,263,263
152,2,120.45,115.64,159.86,164.15,61.00,48.00,214,214,264,265
153,2,115.81,111.66,160.90,164.60,61.00,48.00,215,216,266,266
154,2,111.31,107.93,161.08,164.89,61.00,48.00,216,217,268,268
155,2,107.31,103.26,161.45,165.29,61.00,48.00,217,218,269,270
156,2,103.80,99.40,160.96,164.38,61.00,48.00,218,219,270,271
157,2,100.36,96.98,160.17,163.58,61.00,48.00,220,220,271,272
158,2,97.63,92.52,158.33,163.41,61.00,48.00,221,220,273,273
159,2,94.32,88.42,157.21,163.27,61.00,47.00,221,222,274,275
160,2,92.78,86.10,157.00,162.84,61.00,47.00,221,222,274,276
161,2,93.80,86.10,156.91,162.87,61.00,47.00,221,222,274,276
162,2,94.75,86.53,156.93,163.38,61.00,47.00,221,222,275,276
163,2,94.08,86.62,157.13,163.43,61.00,47.00,222,222,275,276
164,2,93.80,86.91,157.61,163.84,61.00,47.00,222,222,275,277
165,2,92.99,87.41,158.00,163.90,61.00,46.00,222,223,275,277
166,2,93.29,87.93,158.35,164.12,61.00,46.00,222,223,275,277
167,2,93.22,88.17,158.26,164.29,61.00,46.00,222,223,275,277
168,2,93.58,88.70,158.07,164.31,61.00,46.00,222,223,275,277
169,2,93.83,89.05,157.95,164.31,61.00,46.00,222,223,275,277
170,2,94.02,89.76,158.19,164.34,61.00,46.00,222,223,275,276
171,2,93.56,90.02,158.37,164.33,61.00,46.00,221,223,275,276
172,2,93.98,91.83,158.50,164.31,61.00,46.00,221,222,275,276
173,2,96.85,96.07,158.71,164.40,61.00,46.00,220,221,274,274
174,2,101.04,100.67,158.91,164.62,61.00,47.00,219,220,272,273
175,2,104.75,104.45,158.88,164.85,61.00,47.00,218,219,271,271
176,2,109.97,109.64,158.80,165.10,61.00,48.00,216,217,269,269
177,2,115.12,114.70,158.63,165.07,61.00,49.00,213,214,266,267
178,2,120.21,118.52,158.30,165.15,61.00,49.00,211,212,264,264
179,1,123.23,121.21,157.47,165.26,61.00,49.00,208,209,261,262
180,1,128.92,125.86,156.24,164.39,61.00,49.00,205,206,258,259
181,1,132.97,129.97,156.94,164.76,61.00,49.00,202,203,255,256
182,1,136.07,133.36,158.23,165.50,61.00,48.00,199,200,253,253
183,1,138.87,136.35,159.27,164.73,62.00,49.00,197,198,250,251
184,1,141.95,139.85,158.82,163.97,62.00,49.00,194,195,248,248
185,1,144.33,142.89,158.07,162.87,62.00,48.00,191,191,245,245
186,1,147.22,146.02,156.55,160.82,62.00,48.00,186,189,242,242
187,1,149.83,148.89,156.13,159.99,62.00,47.00,182,184,239,240
188,1,152.10,151.29,155.98,159.64,62.00,47.00,178,182,236,237
189,1,154.32,153.20,155.70,159.39,63.00,46.00,175,179,234,235
190,1,156.70,154.62,155.30,159.52,63.00,46.00,171,175,231,232
191,1,158.58,156.35,155.22,159.54,63.00,46.00,169,172,229,230
192,1,160.40,157.45,155.14,160.15,62.00,46.00,166,168,226,227
193,1,161.47,158.42,155.01,160.25,62.00,46.00,163,164,225,226
194,0,162.82,160.06,154.79,160.39,62.00,46.00,160,161,223,224
195,0,166.27,161.82,153.84,160.18,62.00,46.00,156,159,221,222
196,0,168.29,164.16,153.98,159.34,62.00,46.00,153,156,219,221
197,0,170.18,167.03,154.74,158.55,62.00,46.00,150,153,218,219
198,0,171.74,168.99,154.89,157.70,62.00,46.00,148,151,216,217
199,0,172.97,170.10,154.86,157.10,62.00,46.00,146,149,215,216
200,0,174.05,171.22,154.58,157.07,62.00,46.00,146,148,214,215
201,0,174.86,172.86,154.48,157.27,62.00,46.00,145,146,214,215
202,0,175.71,174.38,154.10,156.90,62.00,46.00,145,146,214,214
203,0,176.36,175.10,154.38,156.73,62.00,46.00,145,146,214,214
204,0,176.55,175.42,155.01,156.37,62.00,46.00,145,146,214,215
205,0,176.88,175.78,155.60,156.21,62.00,46.00,145,146,214,214
206,0,177.05,176.01,156.20,156.38,61.00,46.00,145,146,214,214
207,0,177.12,176.27,156.47,156.52,61.00,46.00,144,146,214,214
208,0,177.16,176.31,156.63,156.96,61.00,46.00,144,146,213,214
209,0,177.12,176.08,156.72,157.45,61.00,47.00,144,146,214,214
210,0,177.15,176.03,156.76,157.70,61.00,47.00,144,146,214,214
211,0,177.20,175.96,156.77,158.04,61.00,47.00,144,146,214,214
212,0,177.26,176.00,156.78,158.12,61.00,47.00,144,146,214,214
213,0,177.31,176.02,156.75,158.15,61.00,47.00,144,146,214,214
214,0,177.40,175.96,156.66,158.15,61.00,47.00,144,146,214,214
215,0,177.47,175.89,156.57,158.20,61.00,47.00,144,146,214,214
216,0,177.47,175.84,156.49,158.22,61.00,47.00,144,146,214,214
217,0,177.30,175.81,156.39,158.16,61.00,48.00,144,146,214,214
218,0,177.01,175.80,156.39,158.11,61.00,48.00,144,146,214,214
219,0,176.70,175.82,156.35,157.86,61.00,48.00,144,146,214,214
220,0,176.21,175.69,156.16,157.84,61.00,48.00,145,146,214,214
221,0,175.44,175.40,156.15,157.90,61.00,48.00,145,147,214,215
222,0,174.41,174.49,156.46,158.35,61.00,48.00,146,147,215,215
223,0,173.51,173.52,156.75,158.89,61.00,48.00,146,148,216,216
224,0,172.71,172.32,157.07,159.46,61.00,48.00,147,149,217,217
225,0,171.31,171.15,157.61,159.54,61.00,48.00,149,151,218,219
226,0,170.09,169.56,158.15,159.62,61.00,48.00,151,153,219,220
227,0,169.05,168.27,158.42,159.57,61.00,47.00,153,155,220,222
228,0,167.21,167.08,158.80,159.45,61.00,48.00,155,157,222,223
229,1,164.34,165.56,159.01,159.20,61.00,48.00,157,159,224,225
230,1,162.12,163.90,159.84,159.12,61.00,47.00,160,162,225,226
231,1,160.70,162.15,160.26,158.75,61.00,47.00,162,164,226,227
232,1,159.55,161.17,160.18,158.78,61.00,47.00,165,166,227,228
233,1,157.99,159.70,160.54,159.06,62.00,46.00,167,170,229,230
234,1,156.65,157.53,160.63,159.22,62.00,46.00,171,173,231,232
235,1,155.66,156.75,160.42,159.07,62.00,47.00,173,176,233,233
236,1,154.95,155.81,160.33,159.18,62.00,47.00,176,178,234,235
237,1,153.86,154.14,160.11,159.62,62.00,47.00,179,180,236,236
238,1,152.07,152.63,160.17,160.10,62.00,47.00,182,182,238,238
239,1,150.55,151.09,159.91,160.28,62.00,46.00,185,185,240,240
240,1,149.06,149.25,159.32,160.70,62.00,47.00,188,189,243,243
241,1,146.83,147.35,159.39,161.74,63.00,48.00,191,191,245,245
242,1,145.56,145.48,159.51,162.88,63.00,48.00,194,193,246,247
243,1,142.52,142.05,159.48,162.88,63.00,48.00,197,196,249,249
244,1,140.42,140.19,159.82,163.04,63.00,48.00,198,197,250,251
245,1,137.84,137.65,159.87,162.77,62.00,48.00,200,200,252,253
246,1,134.55,134.90,159.72,162.24,62.00,48.00,202,202,254,255
247,1,131.62,131.88,158.46,162.13,62.00,49.00,204,204,256,257
248,1,129.13,129.13,158.22,161.63,62.00,49.00,206,206,258,259
249,1,127.16,126.92,158.16,161.95,62.00,49.00,207,208,259,260
250,1,127.13,124.69,158.52,163.09,62.00,49.00,209,209,260,261
251,1,125.15,121.92,159.44,163.64,62.00,49.00,211,211,262,263
252,1,125.20,120.12,160.07,163.73,62.00,49.00,212,212,262,264
253,1,123.09,117.15,160.47,164.35,61.00,49.00,213,213,264,265
254,2,121.26,115.17,160.88,164.63,61.00,48.00,214,215,265,266
255,2,118.26,112.59,161.32,164.65,61.00,49.00,216,216,266,267
256,2,114.77,109.30,161.72,165.18,61.00,49.00,216,217,268,269
257,2,111.83,108.18,161.54,165.53,61.00,49.00,218,217,269,269
258,2,109.59,108.15,161.27,165.38,61.00,49.00,219,218,269,270
259,2,105.74,105.00,160.10,165.07,61.00,49.00,219,219,271,271
260,2,102.00,101.07,158.78,164.37,61.00,49.00,220,220,272,272
261,2,98.27,97.38,157.92,163.72,61.00,49.00,220,220,273,274
262,2,98.41,96.61,156.39,163.43,61.00,49.00,221,220,273,274
263,2,96.79,95.06,156.08,162.90,61.00,49.00,221,221,273,275
264,2,97.42,94.70,155.88,162.70,61.00,48.00,221,221,273,275
265,2,98.84,95.10,155.71,162.62,61.00,48.00,221,220,273,274
266,2,100.77,96.48,155.68,162.68,61.00,48.00,220,220,273,274
267,2,101.81,97.11,155.68,162.68,61.00,48.00,220,220,273,274
268,2,102.44,97.72,155.71,162.63,61.00,47.00,220,220,273,274
269,2,102.94,97.99,155.75,162.62,61.00,47.00,220,220,273,273
270,2,102.99,98.03,155.74,162.62,61.00,48.00,219,219,272,273
271,2,105.91,101.76,155.66,162.71,61.00,48.00,218,218,272,272
272,2,109.07,105.39,155.49,162.75,61.00,48.00,216,217,270,271
273,2,113.75,110.57,155.43,162.96,61.00,49.00,215,216,269,269
274,2,116.00,114.97,155.18,163.27,61.00,49.00,213,214,267,267
275,2,118.78,118.66,155.08,163.48,61.00,49.00,211,212,265,265
276,1,124.12,123.78,154.71,163.48,61.00,49.00,208,209,262,263
277,1,128.55,128.46,154.33,163.53,61.00,49.00,205,206,259,260
278,1,133.07,133.01,155.08,163.24,61.00,48.00,202,203,256,257
279,1,136.46,136.08,157.96,164.12,61.00,48.00,200,201,254,254
280,1,139.23,139.37,160.28,164.99,61.00,49.00,197,197,251,252
281,1,142.95,142.25,160.75,165.19,61.00,48.00,194,194,248,249
282,1,145.08,145.04,159.63,164.37,63.00,47.00,191,190,246,246
283,1,147.57,147.29,157.14,162.66,63.00,47.00,187,187,243,243
284,1,149.78,149.29,156.47,162.32,63.00,46.00,183,184,240,240
285,1,152.12,151.44,156.22,161.91,63.00,46.00,180,182,237,238
286,1,154.94,153.65,155.98,161.58,63.00,46.00,176,178,235,235
287,1,156.88,155.62,155.69,161.29,63.00,46.00,173,175,233,233
288,1,159.13,157.47,155.55,161.11,63.00,46.00,169,172,230,230
289,1,160.88,159.10,155.31,160.78,63.00,46.00,167,168,227,227
290,1,162.75,160.15,154.63,160.36,63.00,46.00,164,166,225,226
291,0,163.88,161.96,154.66,159.92,62.00,46.00,161,162,224,224
292,0,165.74,163.62,154.77,159.66,62.00,46.00,158,160,222,222
293,0,167.97,165.86,155.24,159.01,62.00,46.00,155,157,220,220
294,0,170.29,167.11,155.30,158.72,62.00,46.00,152,155,218,219
295,0,171.97,167.97,155.76,158.07,62.00,46.00,149,152,217,217
296,0,173.15,169.38,155.56,157.15,62.00,46.00,147,150,216,217
297,0,174.45,171.49,154.68,156.31,62.00,46.00,146,149,215,216
298,0,175.28,172.38,154.40,156.29,62.00,46.00,145,148,215,215
299,0,176.20,173.34,154.11,156.36,62.00,46.00,145,147,214,214
300,0,176.83,174.48,153.91,156.56,62.00,46.00,145,147,214,214
301,0,177.14,174.84,153.99,156.87,62.00,46.00,145,147,214,214
302,0,177.40,175.10,154.05,157.10,62.00,46.00,145,147,214,214
303,0,177.66,175.33,154.14,157.13,62.00,47.00,145,147,214,214
304,0,177.79,175.58,154.42,157.06,62.00,47.00,145,147,214,214
305,0,177.65,175.54,154.97,156.91,62.00,47.00,145,147,214,214
306,0,177.59,175.61,155.48,156.74,62.00,47.00,144,147,214,215
307,0,177.57,175.61,155.78,156.63,62.00,47.00,144,147,214,215
308,0,177.56,175.61,155.96,156.52,62.00,47.00,144,146,214,215
309,0,177.59,175.64,156.06,156.41,62.00,47.00,144,146,214,215
310,0,177.61,175.66,156.12,156.32,62.00,47.00,144,147,214,215
311,0,177.63,175.64,156.15,156.28,62.00,47.00,144,147,214,215
312,0,177.65,175.62,156.17,156.26,62.00,48.00,144,146,214,215
313,0,177.63,175.61,156.10,156.24,62.00,48.00,144,146,214,215
314,0,177.48,175.58,156.17,156.23,62.00,48.00,144,146,214,215
315,0,177.35,175.55,156.24,156.23,62.00,47.00,144,146,214,215
316,0,177.04,175.48,156.28,156.27,62.00,47.00,144,146,214,215
317,0,176.60,175.35,156.28,156.33,62.00,47.00,144,146,214,215
318,0,176.01,174.83,156.22,156.55,62.00,47.00,144,147,215,215
319,0,175.28,174.32,156.02,156.66,62.00,47.00,145,147,215,216
320,0,174.50,173.57,156.07,156.67,62.00,47.00,146,148,216,217
321,0,173.69,172.58,156.25,156.79,61.00,48.00,147,149,217,218
322,0,173.16,171.88,156.39,156.87,61.00,48.00,148,150,217,218
323,0,172.06,170.84,156.85,157.31,61.00,48.00,149,151,218,219
324,0,170.71,169.60,157.41,157.73,61.00,47.00,151,153,219,220
325,0,168.90,168.71,157.83,157.53,61.00,47.00,153,155,221,222
326,0,166.68,167.85,158.87,157.25,61.00,47.00,155,157,222,224
327,1,164.82,166.58,159.25,157.25,61.00,47.00,158,160,224,225
328,1,163.00,164.90,159.65,157.90,61.00,47.00,159,161,225,226
329,1,161.47,163.00,159.54,158.41,61.00,47.00,161,164,226,227
330,1,160.24,161.78,159.80,158.67,61.00,47.00,164,166,228,228
331,1,159.04,160.53,159.59,158.56,61.00,47.00,166,168,229,229
332,1,157.81,158.94,159.66,158.45,62.00,47.00,169,171,230,231
333,1,155.99,156.86,159.19,158.24,62.00,47.00,172,174,233,234
334,1,155.07,156.26,158.48,158.54,62.00,46.00,175,177,234,235
335,1,153.77,154.84,158.53,159.24,62.00,46.00,178,179,236,236
336,1,152.80,152.48,158.24,159.99,62.00,46.00,180,182,238,238
337,1,151.81,150.48,158.19,160.29,62.00,46.00,183,184,239,240
338,1,150.39,148.68,157.94,160.90,62.00,47.00,186,186,241,242
339,1,148.54,146.34,157.84,161.58,62.00,47.00,189,190,244,244
340,1,146.81,144.38,157.96,161.86,62.00,47.00,192,193,245,246
341,1,144.36,141.64,158.03,161.39,62.00,48.00,195,195,248,248
342,1,141.91,139.56,158.36,161.29,62.00,48.00,197,197,249,250
343,1,139.28,137.55,158.62,160.85,62.00,48.00,199,200,251,252
344,1,136.72,134.60,158.69,159.92,62.00,48.00,201,202,253,254
345,1,134.45,131.56,158.26,159.30,62.00,48.00,203,204,255,256
346,1,131.22,128.04,156.97,159.02,62.00,49.00,205,205,257,257
347,1,128.25,125.19,156.50,159.86,62.00,49.00,207,208,259,259
348,1,126.38,122.45,156.55,161.06,61.00,49.00,210,209,260,261
349,1,125.31,119.65,157.31,162.82,61.00,49.00,211,211,262,262
350,1,123.08,117.49,157.89,163.63,61.00,49.00,213,213,263,264
351,2,121.06,114.58,159.58,164.71,61.00,48.00,213,214,265,265
352,2,118.66,111.29,160.04,164.91,61.00,48.00,214,215,266,267
353,2,117.73,109.06,160.48,165.43,61.00,48.00,216,217,267,268
354,2,115.53,106.67,160.69,166.26,61.00,48.00,217,218,268,269
355,2,113.65,106.11,160.08,164.91,61.00,48.00,218,219,269,270
356,2,109.84,102.68,159.50,164.05,61.00,48.00,219,219,271,271
357,2,106.06,98.64,158.75,163.62,61.00,48.00,220,220,272,272
358,2,101.17,94.68,157.82,163.28,61.00,48.00,220,220,273,274
359,2,98.00,91.47,156.49,163.01,61.00,47.00,222,221,274,275
360,2,96.42,89.40,155.92,162.77,61.00,47.00,222,222,274,275
361,2,96.00,88.42,155.78,162.71,61.00,47.00,222,222,275,275
362,2,96.67,89.48,155.69,163.20,61.00,47.00,222,222,274,275
363,2,96.79,90.13,155.79,163.42,61.00,47.00,222,222,275,276
364,2,97.60,91.62,155.81,163.56,61.00,47.00,222,222,274,275
365,2,99.21,93.47,155.98,163.85,61.00,47.00,221,221,274,275
366,2,99.85,94.36,156.21,164.03,61.00,47.00,221,221,274,275
367,2,99.98,95.11,156.49,164.06,61.00,47.00,221,221,274,274
368,2,101.71,98.05,156.68,164.07,61.00,47.00,220,220,273,274
369,2,106.66,104.02,156.85,164.08,61.00,47.00,217,219,272,272
370,2,112.06,109.55,157.03,163.96,61.00,47.00,215,217,269,270
371,2,116.80,114.98,156.90,163.78,61.00,48.00,212,215,267,267
372,2,119.32,118.71,156.36,163.18,61.00,49.00,210,213,265,265
373,1,122.89,123.36,155.97,162.02,61.00,49.00,208,210,262,263
374,1,126.61,127.58,155.61,161.64,61.00,48.00,204,207,259,260
375,1,131.52,132.41,155.76,161.02,61.00,48.00,201,204,256,257
376,1,134.77,135.64,157.30,162.02,61.00,48.00,199,201,254,255
377,1,137.78,138.46,158.60,163.85,61.00,48.00,196,198,252,252
378,1,141.12,141.33,160.35,164.21,61.00,48.00,193,195,249,249
379,1,144.54,144.33,159.89,163.72,61.00,48.00,190,191,245,246
