Frame,Estado,Angulo_Joelho_Esquerdo,Angulo_Joelho_Direito,Angulo_Tornozelo_Esquerdo,Angulo_Tornozelo_Direito,Distancia_Pes_Px,Distancia_Ombros_Px,Ombro_Esquerdo_Y_Px,Ombro_Direito_Y_Px,Quadril_Esquerdo_Y_Px,Quadril_Direito_Y_Px
85,1,156.76,155.22,156.74,161.00,61.00,46.00,170,171,231,231
86,0,158.62,156.86,156.60,161.24,62.00,46.00,167,168,228,229
87,0,160.84,157.73,156.25,161.71,62.00,46.00,164,165,226,226
88,0,162.21,159.01,155.66,161.93,62.00,46.00,161,162,224,224
89,0,163.53,160.95,155.56,161.46,62.00,46.00,158,160,222,223
90,0,166.38,162.84,154.08,161.10,62.00,46.00,154,156,221,221
91,0,168.32,165.05,153.77,160.45,62.00,46.00,152,154,219,220
92,0,169.91,167.00,153.97,159.87,62.00,46.00,150,152,218,219
93,0,171.54,168.43,153.81,159.22,62.00,46.00,148,150,217,217
94,0,172.32,169.78,153.77,159.00,61.00,46.00,147,148,217,217
95,0,173.04,171.27,153.80,158.97,61.00,46.00,147,147,216,216
96,0,173.68,172.83,153.83,158.93,61.00,46.00,145,147,216,215
97,0,174.73,174.28,153.72,158.93,61.00,46.00,144,146,215,215
98,0,175.72,175.30,153.72,158.61,61.00,46.00,144,145,215,214
99,0,176.39,175.69,154.24,158.60,61.00,46.00,144,145,214,214
100,0,176.64,176.18,154.48,158.47,61.00,46.00,144,145,214,214
101,0,176.76,176.69,154.74,158.32,61.00,46.00,144,145,214,214
102,0,176.89,176.97,154.87,158.09,61.00,46.00,144,145,214,214
103,0,177.06,177.19,154.92,157.90,61.00,46.00,144,145,214,214
104,0,177.18,177.24,154.97,157.92,61.00,46.00,144,145,214,214
105,0,177.25,177.31,155.02,157.89,61.00,46.00,144,145,214,214
106,0,177.27,177.34,155.12,157.97,61.00,46.00,144,145,215,214
107,0,177.28,177.36,155.19,158.03,61.00,46.00,144,145,215,214
108,0,177.27,177.34,155.26,158.12,61.00,46.00,144,145,215,214
